id,purpose_validated,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
185,work,330.0,5,5,19,16,10.203835467237687,738.8301191145803,10.203835467237687,400.3709917297599,2
186,errand,2547.792000000001,9,9,17,50,74.83185552718476,368.3185263580964,24602.22499664671,74.83185552718476,5
187,wait,416.424999,14,14,10,49,6031113.181260866,6031113.181260866,6090179.71997145,6077967.843838076,5
188,home,10774.965001,12,15,27,13,214.90526119521328,838.4798191334222,43583.665169657164,214.90526119521328,0
189,home,1561.5790000000004,11,11,23,51,442.26307875756754,3514.500834751031,10052.774786155009,442.26307875756754,4
190,home,81504.715001,17,16,11,10,7.094531655587919,925.7655906403382,26691.947936568715,7.094531655587919,5
191,home,35951.0,19,4,25,34,111.00368272427146,1386.977688016936,68419.1623557133,111.00368272427146,4
192,leisure,6522.303001,13,15,16,28,165.56179713287608,6581.852639636672,51779.445061570324,165.56179713287608,6
193,leisure,4640.81,11,12,8,1,132.3288457533789,3852.5797110819285,79232.00858172022,132.3288457533789,6
194,leisure,797.0010000000002,16,16,14,41,340241.95274990576,340241.95274990576,619478.4530185666,608124.0255134297,5
195,wait,510.336,19,19,16,37,358258.63861779845,410081.2583565588,588305.4842689282,358258.63861779845,5
196,leisure,4202.608,5,7,8,19,378.36040043824715,560.8035208614551,12070.675257015779,557.6871650401388,0
197,work,1759.3569989999999,9,9,3,18,76.59418803720605,76.59418803720605,92.33455575782408,76.59418803720605,2
198,home,40762.578001,8,19,31,31,417.73300311651536,417.73300311651536,18970.938427382946,472.8341905795442,0
199,work,7828.998001000001,13,15,26,39,174.3531998621078,3986.2687110187544,15511.986473332,174.3531998621078,1
200,errand,360.0,3,3,9,2,274.5380628579444,333.53190998649785,7822.9107135500035,274.5380628579444,1
201,work,330.20099999999996,5,5,18,3,98.06793264704784,98.06793264704784,28442.70669273692,130.63997111288893,2
202,home,536.0,13,13,4,27,65.05043559137825,5775.138158405017,33949.97738401535,65.05043559137825,1
203,home,44451.99200100001,16,5,21,29,220.40235300276316,524.9513863842224,1911.288965059776,220.40235300276316,4
204,leisure,2838.0,9,10,8,32,1784.999247363359,19652.722808906638,162727.52912776914,1784.999247363359,1
205,wait,756.0,16,16,21,51,59.790263946110656,130.52175270381312,23067.010678791452,59.790263946110656,2
206,home,34007.978000999996,18,4,30,17,138.59217621493602,222.8707772720088,30698.025194034537,138.59217621493602,6
207,wait,529.098999,17,18,7,49,88.74115565739504,88.74115565739504,27111.150018834218,88.74115565739504,2
208,work,14689.356000999998,12,16,17,3,126.62205412091349,582.4323631166449,126.62205412091349,126.62205412091349,1
209,work,3246.584001,15,16,15,33,6653562.77706533,6653562.77706533,6720267.973568769,6714657.878395612,1
210,leisure,101312.0,7,12,18,16,12192.586829947431,12192.586829947431,31065.06973781641,19994.27036894658,1
211,work,14835.646,17,21,9,27,142.021673392889,858.1151428894079,8760.986745346361,142.021673392889,6
212,work,707.4290010000002,7,7,3,5,156.46315813958142,1208.7585607387016,272.74532628250813,156.46315813958142,4
213,home,41729.786,22,9,21,47,172.71134240994053,4091.23251855646,23586.840565182723,172.71134240994053,1
214,wait,981.702,16,16,11,19,87.75202335567292,87.75202335567292,48609.17928759468,87.75202335567292,3
215,errand,408.999,17,17,19,7,42.261457370594286,116.28675671809279,42.261457370594286,42.261457370594286,6
216,wait,449.99900099999996,3,3,17,20,19.37277984657215,116.6125435957003,34018.286871361095,19.37277984657215,2
217,leisure,3733.782,10,11,10,19,101.19247378977144,748.3426218569892,101.19247378977144,101.19247378977144,2
218,work,783.9839999999999,10,10,27,13,14.816747587118568,1650.507819341934,14.816747587118568,14.816747587118568,0
219,work,395.0,11,11,24,4,33.291859721679074,646.5999569461111,33.291859721679074,33.291859721679074,2
220,leisure,1880.975,14,14,15,20,38.882658820767226,1009.7075293913574,10678.594441871732,38.882658820767226,0
221,home,4317.9180000000015,17,18,6,6,36679.85717645063,41617.0971231843,125684.54573756128,36679.85717645063,0
222,wait,417.2240000000001,10,10,31,35,71.13836145645924,71.13836145645924,48611.31620270336,71.13836145645924,3
223,leisure,6714.0,18,20,5,27,2647941.9179872177,2647941.9179872177,2873170.7662014607,2861251.6783969374,2
224,leisure,382.376999,10,10,20,3,41.120991090196426,980.439056894676,36653.08262371393,41.120991090196426,4
225,leisure,4512.567,15,16,23,21,201.48674837459754,1588.3952615516394,220.96964426040418,201.48674837459754,1
226,errand,510.00000000000006,12,12,3,22,624.8162657895965,709.6432031842853,36926.96690178037,624.8162657895965,5
227,home,589.4720010000002,17,18,29,4,156.433318413352,797.8245624984463,77639.48888718439,156.433318413352,6
228,work,1481.19,16,16,17,7,68.49428498237107,68.49428498237107,76.90155230875992,68.49428498237107,4
229,wait,437.5700010000001,7,7,14,50,44.467736360549466,44.467736360549466,22952.304732654684,44.467736360549466,2
230,home,42759.032999999996,16,4,12,45,259.2858989430949,2143.8338027072687,25668.29819830723,259.2858989430949,6
231,errand,2634.983999,15,15,26,47,206.68358357808918,1708.0134026582425,27599.77552212791,206.68358357808918,6
232,work,38072.46,5,16,26,43,133.411542068321,133.411542068321,2671.019209455661,133.411542068321,3
233,wait,471.3200010000001,6,6,22,38,60.654470030497805,60.654470030497805,48599.653212072044,60.654470030497805,4
234,work,9443.174,14,17,1,35,141.20671160518697,141.20671160518697,10120.224256149186,141.20671160518697,4
235,errand,2794.0,19,20,4,1,808278.3557890428,808278.3557890428,1093928.7425153395,1082435.7752449675,3
