id,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
22185,3340.387001,10,11,30,17,224.40646771703305,3302.278095202873,21179.866735480922,224.40646771703305,6
22186,2134.253001,5,5,17,29,229.25450555765065,229.25450555765065,50098.17734817039,229.25450555765065,0
22187,1536.019,15,16,16,7,152.38672411623818,170.66947118215245,41945.09769715413,152.38672411623818,3
22188,20421.941000000006,22,4,14,50,871.5989814813763,3000.325110973462,40380.99904642739,871.5989814813763,2
22189,17656.0,6,11,9,2,85.42724715591383,560.9441143954251,74915.12230398477,85.42724715591383,1
22190,1982.367001,16,17,4,44,202671.00591947825,202671.00591947825,382873.16414807294,212275.98009689612,5
22191,3472.4700000000007,11,12,17,24,492.4241790597568,1600.0232834432836,22440.304560793036,492.4241790597568,5
22192,332.7460000000001,12,12,11,41,629336.7042280261,629336.7042280261,725016.5229474745,700669.1258184189,2
22193,420.0,6,6,11,15,174.55245891964816,185.5448764318266,7915.678480541565,174.55245891964816,1
22194,5004.421999,17,19,7,49,43.25314613057556,1548.9227611506271,43392.44068861724,43.25314613057556,3
22195,3423.4970000000008,11,12,21,38,110.41240417581993,451.49170885535233,2243.286521578016,110.41240417581993,3
22196,1013.0,5,5,9,6,23.71855288039175,23.71855288039175,36142.873746401725,87.67935376179955,3
22197,4421.0,9,11,30,5,105.8451389385894,749.6798291301923,22592.611590563174,105.8451389385894,1
22198,16670.914,10,15,31,31,198.60434525347344,746.2314409084506,38454.42483636218,198.60434525347344,0
22199,39216.84800100001,19,6,25,43,201.97328256635646,1164.2007298607898,30164.051980490098,201.97328256635646,2
22200,3740.018,12,13,26,30,239.35037237981405,856.5815254372341,385.689359714924,239.35037237981405,2
22201,3984.419999,8,10,19,29,44.42575105634142,44.42575105634142,41822.39904974328,76.54660585645794,2
22202,3389.8870009999996,11,12,4,49,96.90955724728704,96.90955724728704,49047.587175688415,143.80310286683414,0
22203,68637.980001,0,19,28,4,1531.792566840051,7540.776295437108,112718.56679711178,1534.950677364525,5
22204,493.86800000000005,8,9,28,4,157.25331791543618,219.2038861427673,19185.738910192347,157.25331791543618,5
22205,13892.0,7,10,18,51,126.51743793335699,591.1787161145418,126.51743793335699,126.51743793335699,0
22206,3398.4490010000004,15,16,5,14,329.66202649311236,3233.5505865991167,11148.862295133998,329.66202649311236,2
22207,496.753,10,10,13,19,248.739905776249,248.739905776249,34982.339100418285,2021.557426912044,5
22208,1438.001,15,15,27,43,162.25840617808078,433.30187946544135,3005.3080159509136,162.25840617808078,4
22209,4560.0,21,22,31,5,139.38735036927235,366.70231086778944,8177.331958248608,139.38735036927235,2
22210,6466.911999999999,7,9,11,50,124.96167272348973,412.7403248372252,370.07872171014253,124.96167272348973,0
22211,43545.48,19,7,1,35,90.49278858139421,857.2810663205414,15406.042256761479,90.49278858139421,4
22212,24674.072999999997,8,15,15,50,270.59267060598864,725.0172728510228,34887.23136613459,270.59267060598864,3
22213,84874.85100000001,14,13,15,7,285.98343856225955,507.40124422643,20724.10834586203,285.98343856225955,2
22214,5416.0,12,14,12,50,93.55669248257936,1776.4964538241386,93.55669248257936,93.55669248257936,0
22215,2605.6740010000008,13,14,18,42,123.08383842813416,155.12813557140836,35987.69565694421,123.08383842813416,2
22216,7329.029001000001,16,18,11,50,215716.9255883503,215716.9255883503,412539.2742287925,278995.4785384757,0
22217,842.6989990000002,18,18,27,26,153.2259829038901,153.2259829038901,175.00279229587002,175.00279229587002,1
22218,57722.578001,15,7,11,49,389.70217491292055,511.8895989736683,12556.075773804929,389.70217491292055,6
22219,3971.277,16,17,11,19,19.596418089339217,2037.5291760730645,2058.1259670923696,19.596418089339217,3
22220,70472.0,17,12,19,3,294.6937793947165,1428.8257804098182,52156.119828378265,294.6937793947165,4
22221,10180.706,12,14,10,28,128.68159517795755,128.68159517795755,4884.724481163973,128.68159517795755,0
22222,318.1160000000001,20,20,15,46,83.78546797259717,83.78546797259717,92.77544639860935,83.78546797259717,2
22223,14528.945000000003,18,22,10,41,283.41302838361895,1340.875953077901,35704.272909732346,283.41302838361895,1
22224,959.697001,18,18,29,52,129.700882158825,2559.0939415055827,57565.81639633472,129.700882158825,3
22225,303.64099999999996,22,22,4,9,8873011.218594514,8873011.218594514,8963637.256995771,8956715.631797861,5
22226,6233.648,11,13,28,52,320.9080502100642,613.3384376993022,27381.48057958316,320.9080502100642,2
22227,7716.000000000001,16,18,7,1,104.58168776028508,975.8953590582244,27880.559603231133,104.58168776028508,6
22228,455.2600000000001,15,15,25,12,65.43719267304432,65.43719267304432,69.47300359580153,65.43719267304432,5
22229,304.629,9,9,9,6,26.294175607416854,2850.6373375067687,71090.07258339088,1198.1912611623416,3
22230,2857.2039990000007,10,11,2,48,378761.8523362784,378761.8523362784,661394.7854707546,387605.08231192536,4
22231,1545.890001,16,17,23,47,51.332147330262394,51.332147330262394,151.4274240524724,51.332147330262394,3
22232,11970.341999999999,19,22,18,50,130.80722237634097,1228.97784697623,130.80722237634097,130.80722237634097,6
22233,11242.601001,18,21,25,47,472.07815476936116,2652.867137015869,129512.9018024768,472.07815476936116,5
22234,930.050999,16,16,16,42,294.57101257821233,3268.966899176572,10778.23127711997,294.57101257821233,0
22235,25249.0,21,4,31,22,397.81559433546545,1081.0046294348922,75860.58705382161,397.81559433546545,2
22236,6989.728,12,14,17,20,15918.212219835708,15918.212219835708,111759.23200958467,107379.57925406011,2
22237,44428.0,21,9,20,51,608.6266786454363,2389.357570681388,6172.835633722474,608.6266786454363,1
22238,53400.705,16,7,13,50,1246.8570499360233,1641.733352290944,46925.625394404335,1246.8570499360233,1
22239,521.0,10,10,22,51,38.3627042886324,858.7328352322819,58456.20685851103,38.3627042886324,4
22240,1462.335,5,6,26,43,54.60401160634042,443.4330577922286,54.60401160634042,54.60401160634042,3
22241,10228.546999999999,7,10,3,9,248.84552838080285,647.9560827067858,248.84552838080285,248.84552838080285,4
22242,37936.875999,18,5,2,31,623.3936833892894,623.3936833892894,9651.378184195926,1341.9733624941189,2
22243,36555.33299900001,18,5,9,41,214.18964303683296,967.6563770897587,36279.919854665866,214.18964303683296,0
22244,13125.701998999999,10,14,10,15,215.68844478216042,218.438154691666,231.30807917492896,215.68844478216042,0
22245,41532.917001,17,4,6,45,146.16731796969447,2182.507195065229,22410.837123581383,146.16731796969447,0
22246,2312.038,11,12,15,15,103.61368156027213,456.24780075367386,23580.142419827025,103.61368156027213,5
22247,49391.0,16,5,28,26,374.1670158883956,374.1670158883956,1279.4363361901198,1001.5676005468539,2
22248,1474.998999,6,7,12,41,150.26077355989358,589.5490847785934,16719.874016937712,150.26077355989358,3
22249,340.8660000000001,15,15,4,22,597.7904279067172,773.9500572973558,19211.735181890734,597.7904279067172,6
22250,8629.190001,19,21,29,39,332.0374712156709,35131.624477922975,100173.36866423,332.0374712156709,4
